"","bonobo","chimp","gorilla","human","orangutan","siamang"
"bonobo",0,0.0221537236645333,0.0637986846418784,0.0417748091702808,0.0969577523769426,0.131422787904861
"chimp",0.0221537236645333,0,0.0637986846418784,0.0417748091702808,0.0969577523769426,0.131422787904861
"gorilla",0.0637986846418784,0.0637986846418784,0,0.0637986846418784,0.0969577523769426,0.131422787904861
"human",0.0417748091702808,0.0417748091702808,0.0637986846418784,0,0.0969577523769426,0.131422787904861
"orangutan",0.0969577523769426,0.0969577523769426,0.0969577523769426,0.0969577523769426,0,0.131422787904861
"siamang",0.131422787904861,0.131422787904861,0.131422787904861,0.131422787904861,0.131422787904861,0
"","bonobo","chimp","gorilla","human","orangutan","siamang"
"bonobo",0,0.0262962714250776,0.067697627462468,0.0480861085037457,0.10921679693757,0.10921679693757
"chimp",0.0262962714250776,0,0.067697627462468,0.0480861085037457,0.10921679693757,0.10921679693757
"gorilla",0.067697627462468,0.067697627462468,0,0.067697627462468,0.10921679693757,0.10921679693757
"human",0.0480861085037457,0.0480861085037457,0.067697627462468,0,0.10921679693757,0.10921679693757
"orangutan",0.10921679693757,0.10921679693757,0.10921679693757,0.10921679693757,0,0.102072331211462
"siamang",0.10921679693757,0.10921679693757,0.10921679693757,0.10921679693757,0.102072331211462,0
