"","bonobo","chimp","gorilla","human","orangutan","siamang"
"bonobo",1,0.831431641211487,0.514553863458875,0.682134203388515,0.262245506105593,0
"chimp",0.831431641211487,1,0.514553863458875,0.682134203388515,0.262245506105593,0
"gorilla",0.514553863458875,0.514553863458875,1,0.514553863458875,0.262245506105593,0
"human",0.682134203388515,0.682134203388515,0.514553863458875,1,0.262245506105593,0
"orangutan",0.262245506105593,0.262245506105593,0.262245506105593,0.262245506105593,1,0
"siamang",0,0,0,0,0,1
"","bonobo","chimp","gorilla","human","orangutan","siamang"
"bonobo",1,0.759228688604474,0.380153700156899,0.559718744258427,0,0
"chimp",0.759228688604474,1,0.380153700156899,0.559718744258427,0,0
"gorilla",0.380153700156899,0.380153700156899,1,0.380153700156899,0,0
"human",0.559718744258427,0.559718744258427,0.380153700156899,1,0,0
"orangutan",0,0,0,0,1,0.0654154482317598
"siamang",0,0,0,0,0.0654154482317598,1
